Model,Clean_Accuracy,Corruption,Corrupted_Accuracy,Corruption_Error,Relative_Robustness,Accuracy_Drop,Params_M,GFLOPs
efficientnet_b0,0.9306647605432452,Gaussian_0.05,0.899928520371694,0.10007147962830598,0.9669738863287249,0.030736240171551188,4.003962,0.769274304
efficientnet_b0,0.9306647605432452,Gaussian_0.1,0.7526804860614725,0.24731951393852747,0.8087557603686636,0.17798427448177268,4.003962,0.769274304
efficientnet_b0,0.9306647605432452,Gaussian_0.2,0.1679771265189421,0.832022873481058,0.18049155145929338,0.7626876340243032,4.003962,0.769274304
efficientnet_b0,0.9306647605432452,MotionBlur,0.5754110078627591,0.4245889921372409,0.6182795698924731,0.3552537526804861,4.003962,0.769274304
efficientnet_b0,0.9306647605432452,BrightnessShift,0.9049320943531094,0.0950679056468906,0.9723502304147466,0.02573266619013581,4.003962,0.769274304
resnet50,0.9342387419585418,Gaussian_0.05,0.9278055754110078,0.07219442458899217,0.9931140015302218,0.006433166547534008,23.569502,8.263512064
resnet50,0.9342387419585418,Gaussian_0.1,0.8770550393137956,0.12294496068620442,0.9387911247130833,0.05718370264474626,23.569502,8.263512064
resnet50,0.9342387419585418,Gaussian_0.2,0.6969263759828449,0.3030736240171551,0.7459831675592961,0.23731236597569694,23.569502,8.263512064
resnet50,0.9342387419585418,MotionBlur,0.5553967119370979,0.44460328806290206,0.5944912012241775,0.3788420300214439,23.569502,8.263512064
resnet50,0.9342387419585418,BrightnessShift,0.852037169406719,0.14796283059328097,0.9120122417750574,0.08220157255182281,23.569502,8.263512064
inception_v3,0.854181558255897,Gaussian_0.05,0.8398856325947105,0.1601143674052895,0.9832635983263599,0.014295925661186537,21.812606,11.422725312
inception_v3,0.854181558255897,Gaussian_0.1,0.7212294496068621,0.2787705503931379,0.8443514644351465,0.13295210864903495,21.812606,11.422725312
inception_v3,0.854181558255897,Gaussian_0.2,0.3745532523230879,0.6254467476769121,0.43849372384937235,0.47962830593280914,21.812606,11.422725312
inception_v3,0.854181558255897,MotionBlur,0.3516797712651894,0.6483202287348107,0.4117154811715481,0.5025017869907076,21.812606,11.422725312
inception_v3,0.854181558255897,BrightnessShift,0.8148677626876341,0.18513223731236594,0.9539748953974896,0.03931379556826298,21.812606,11.422725312
