epoch,train_loss,val_loss,val_dice,val_iou
1,3.485908,1.208936,0.597222,0.597222
2,1.253534,1.180265,0.597222,0.597222
3,1.214230,1.107011,0.597222,0.597222
4,1.232350,1.083804,0.597222,0.597222
5,1.136203,1.021468,0.597222,0.597222
6,1.090568,0.955300,0.601559,0.599517
7,0.986712,0.754740,0.796172,0.743892
8,0.899442,0.988640,0.644940,0.628433
9,1.207993,1.015164,0.600641,0.599017
10,1.111439,1.005752,0.628819,0.617901
11,0.997451,0.690256,0.801508,0.743183
12,0.771908,0.499548,0.797748,0.738613
13,1.016185,0.887391,0.473305,0.414919
14,0.747109,0.511293,0.798282,0.738776
15,0.612282,2.587694,0.027776,0.014800
16,1.110784,0.949518,0.637675,0.623305
17,0.935833,0.762425,0.807506,0.749310
18,0.721942,0.451490,0.842702,0.788723
19,0.553377,0.555489,0.508120,0.456357
20,0.540475,0.459079,0.732202,0.669656
21,0.510629,0.402375,0.833922,0.780381
22,0.567091,0.419381,0.801566,0.742465
23,0.525222,0.449019,0.710656,0.646117
24,0.507316,0.393821,0.817746,0.763678
25,0.487047,0.376067,0.867176,0.824506
26,0.468684,0.374225,0.885057,0.840912
27,0.454787,0.166082,0.826468,0.768362
28,1.715064,1.231585,0.597222,0.597222
29,1.223948,1.171216,0.597222,0.597222
30,1.205523,1.129930,0.597222,0.597222
31,1.188118,1.080684,0.597222,0.597222
32,1.171239,1.070469,0.597222,0.597222
33,1.173492,1.072926,0.597222,0.597222
34,1.174507,1.065046,0.597222,0.597222
35,1.161427,1.057214,0.597222,0.597222
36,1.150429,1.051526,0.597222,0.597222
37,1.137923,1.017286,0.597222,0.597222
38,1.132958,1.140241,0.597222,0.597222
39,1.110444,0.908862,0.597222,0.597222
40,0.868239,0.693425,0.597222,0.597222
41,0.656158,0.534024,0.160036,0.104162
42,0.574357,0.473611,0.779663,0.715680
43,0.506796,0.424769,0.838989,0.778857
44,0.510852,1.197121,0.059530,0.035013
45,0.968503,0.900252,0.597222,0.597222
46,0.827272,0.564455,0.150229,0.095599
47,0.696729,0.509281,0.686107,0.623298
48,0.524644,0.490861,0.685521,0.622841
49,0.796599,0.568357,0.173757,0.116062
50,0.598544,0.502329,0.243961,0.181635
51,0.536884,0.473606,0.692931,0.629898
52,0.491065,0.417563,0.885286,0.833700
53,0.454398,0.391434,0.830580,0.774337
54,0.442803,0.378982,0.839609,0.784648
55,0.466059,0.401689,0.806756,0.744561
56,0.452998,0.379338,0.876450,0.828492
57,0.442259,0.371641,0.881401,0.832997
58,0.426617,0.370488,0.850175,0.797992
59,0.426626,0.372953,0.878412,0.829246
60,0.421003,0.160225,0.949685,0.913970
61,0.296547,0.148491,0.837248,0.783174
62,0.269151,0.107635,0.915885,0.876539
63,0.217450,0.131185,0.885072,0.842065
64,1.267727,3.048668,0.027776,0.014800
65,0.797776,0.581685,0.733235,0.673451
66,0.597982,0.485293,0.697511,0.635010
67,0.506716,0.381321,0.761135,0.697194
68,0.285096,0.129332,0.858907,0.805760
69,0.254336,0.161984,0.801461,0.738335
70,0.231984,0.254047,0.741526,0.676611
71,0.224609,0.123032,0.909131,0.856105
72,0.192450,0.120633,0.924897,0.877874
73,0.167023,0.163013,0.796423,0.733586
74,0.172564,0.170240,0.939156,0.897728
75,0.276754,0.164313,0.781663,0.717193
76,0.286827,0.215887,0.804319,0.739704
77,0.246555,0.132200,0.813020,0.752241
78,1.128886,2.772295,0.027776,0.014800
79,0.898346,0.618766,0.747050,0.693337
80,0.587666,0.492565,0.740074,0.686127
81,0.521451,0.444524,0.738796,0.676732
82,0.481557,0.470239,0.658147,0.594620
83,0.480170,0.431364,0.825645,0.771417
84,0.439088,0.274084,0.720273,0.655231
85,1.095238,0.561019,0.147736,0.092904
86,0.553900,0.461332,0.727934,0.669007
87,0.514451,0.438230,0.797816,0.736906
88,0.509788,0.427219,0.802774,0.743058
89,0.469569,0.409880,0.805332,0.744035
90,0.440568,0.246921,0.843191,0.784510
91,0.484710,0.454721,0.722048,0.658926
92,0.518490,0.465546,0.688736,0.625288
93,0.545123,0.450105,0.760315,0.697948
94,0.490668,0.428963,0.783325,0.720209
95,0.504126,0.407926,0.823087,0.764156
96,0.457259,0.283599,0.909340,0.862945
97,0.287081,0.191118,0.802911,0.739956
98,0.235732,0.137057,0.887119,0.835575
99,0.344358,0.213663,0.818711,0.759432
100,0.292159,0.188943,0.787857,0.723098
