epoch,train_loss,val_loss,val_dice,val_iou
1,0.710945,0.586787,0.597222,0.597222
2,0.655575,0.537283,0.597222,0.597222
3,0.660213,0.556204,0.597222,0.597222
4,0.608153,0.522800,0.597222,0.597222
5,0.626846,0.406655,0.803964,0.745411
6,0.421001,0.161627,0.813075,0.755853
7,0.267314,0.098573,0.815758,0.759431
8,0.617985,0.461390,0.691352,0.651227
9,0.643906,0.241758,0.812935,0.761636
10,0.310175,0.155891,0.831730,0.775942
11,0.220409,0.095603,0.649856,0.586036
12,7.938073,0.671279,0.597222,0.597222
13,0.704904,0.555777,0.597222,0.597222
14,0.671829,0.568080,0.597222,0.597222
15,0.668793,0.553660,0.597222,0.597222
16,0.678826,0.581804,0.597222,0.597222
17,0.682233,0.556779,0.597222,0.597222
18,0.665750,0.570080,0.597222,0.597222
19,0.676689,0.557062,0.597222,0.597222
20,0.669306,0.572953,0.597222,0.597222
21,0.664595,0.553692,0.597222,0.597222
22,0.665662,0.566239,0.597222,0.597222
23,0.667492,0.571871,0.597222,0.597222
24,0.671101,0.559666,0.597222,0.597222
25,0.664840,0.558670,0.597222,0.597222
26,0.665680,0.561145,0.597222,0.597222
27,0.669248,0.564110,0.597222,0.597222
28,0.666775,0.562502,0.597222,0.597222
29,0.679953,0.592315,0.597222,0.597222
30,0.673721,0.561059,0.597222,0.597222
31,0.667320,0.573412,0.597222,0.597222
32,0.664817,0.555474,0.597222,0.597222
33,0.667372,0.565356,0.597222,0.597222
34,0.672648,0.558826,0.597222,0.597222
35,0.664224,0.560731,0.597222,0.597222
36,0.665221,0.556679,0.597222,0.597222
37,0.666715,0.560019,0.597222,0.597222
38,0.666939,0.565097,0.597222,0.597222
39,0.667964,0.559233,0.597222,0.597222
40,0.666438,0.570042,0.597222,0.597222
41,0.664912,0.563033,0.597222,0.597222
42,0.672406,0.555247,0.597222,0.597222
43,0.670504,0.565979,0.597222,0.597222
44,0.662433,0.559789,0.597222,0.597222
45,0.662170,0.555582,0.597222,0.597222
46,0.663665,0.556852,0.597222,0.597222
47,0.663778,0.563662,0.597222,0.597222
48,0.663705,0.558328,0.597222,0.597222
49,0.661987,0.557073,0.597222,0.597222
50,0.663217,0.565385,0.597222,0.597222
51,0.663003,0.556943,0.597222,0.597222
52,0.660888,0.552755,0.597222,0.597222
53,0.663930,0.564766,0.597222,0.597222
54,0.680290,0.557752,0.597222,0.597222
55,0.664350,0.556052,0.597222,0.597222
56,0.662669,0.556413,0.597222,0.597222
57,0.665448,0.554895,0.597222,0.597222
58,0.667086,0.559813,0.597222,0.597222
59,0.660373,0.557102,0.597222,0.597222
60,0.659927,0.560900,0.597222,0.597222
61,0.656216,0.548272,0.597222,0.597222
62,0.660597,0.557895,0.597222,0.597222
63,0.650352,0.544468,0.597222,0.597222
64,0.633780,0.503192,0.597222,0.597222
65,0.614444,0.485449,0.597222,0.597222
66,0.578618,0.448363,0.597222,0.597222
67,0.557707,0.424265,0.597222,0.597222
68,0.566521,0.463664,0.597222,0.597222
69,0.557121,0.405109,0.597222,0.597222
70,0.517792,0.397211,0.597222,0.597222
71,0.509872,0.355975,0.720404,0.662005
72,0.469874,0.364355,0.722091,0.657344
73,0.462676,0.582941,0.309017,0.259743
74,0.515615,0.304623,0.733666,0.669236
75,0.434016,0.260590,0.735541,0.669148
76,0.374305,0.202302,0.737830,0.671240
77,0.343666,0.334137,0.478307,0.419835
78,0.350621,0.205471,0.610060,0.546513
79,0.341675,0.190995,0.573117,0.511520
80,0.412331,0.206998,0.754244,0.688369
81,0.444590,0.279987,0.786899,0.721284
82,0.410640,0.453370,0.103615,0.064688
83,0.392626,0.222504,0.725095,0.659376
84,0.389082,0.546284,0.643257,0.618659
85,0.640197,0.446750,0.668456,0.635363
86,0.537785,0.317478,0.778613,0.715141
87,0.372757,0.213525,0.544148,0.484985
88,0.256326,0.165853,0.739675,0.674226
89,0.251574,0.158080,0.559113,0.497998
90,0.368030,0.178798,0.764632,0.699543
91,0.269345,0.166191,0.617590,0.553955
92,0.230151,0.159900,0.765624,0.700678
93,0.243622,0.118783,0.731080,0.665511
94,0.199710,0.150089,0.549363,0.489894
95,0.221993,0.158471,0.495588,0.438665
96,0.189639,0.087148,0.673264,0.608028
97,0.152883,0.077697,0.589973,0.525494
98,0.183446,0.102658,0.652070,0.587641
99,0.181799,0.109332,0.588993,0.526963
100,0.178619,0.093646,0.754036,0.689280
